date,open,high,low,close,adj_close,volume
"May 21, 2025",438.31,438.31,438.31,438.31,438.31,-
"May 20, 2025",445.47,445.47,445.47,445.47,445.47,-
"May 19, 2025",447.18,447.18,447.18,447.18,447.18,-
"May 16, 2025",446.72,446.72,446.72,446.72,446.72,-
"May 15, 2025",443.56,443.56,443.56,443.56,443.56,-
"May 14, 2025",441.63,441.63,441.63,441.63,441.63,-
"May 13, 2025",441.16,441.16,441.16,441.16,441.16,-
"May 12, 2025",437.98,437.98,437.98,437.98,437.98,-
"May 9, 2025",424.14,424.14,424.14,424.14,424.14,-
"May 8, 2025",424.37,424.37,424.37,424.37,424.37,-
"May 7, 2025",420.09,420.09,420.09,420.09,420.09,-
"May 6, 2025",420.09,420.09,420.09,420.09,420.09,-
"May 5, 2025",423.35,423.35,423.35,423.35,423.35,-
"May 2, 2025",426.05,426.05,426.05,426.05,426.05,-
"May 1, 2025",419.85,419.85,419.85,419.85,419.85,-
"Apr 30, 2025",417.21,417.21,417.21,417.21,417.21,-
"Apr 29, 2025",416.58,416.58,416.58,416.58,416.58,-
"Apr 28, 2025",414.18,414.18,414.18,414.18,414.18,-
"Apr 25, 2025",413.91,413.91,413.91,413.91,413.91,-
"Apr 24, 2025",410.88,410.88,410.88,410.88,410.88,-
"Apr 23, 2025",402.73,402.73,402.73,402.73,402.73,-
"Apr 22, 2025",396.12,396.12,396.12,396.12,396.12,-
"Apr 21, 2025",386.44,386.44,386.44,386.44,386.44,-
"Apr 17, 2025",395.72,395.72,395.72,395.72,395.72,-
"Apr 16, 2025",395.18,395.18,395.18,395.18,395.18,-
"Apr 15, 2025",404.24,404.24,404.24,404.24,404.24,-
"Apr 14, 2025",404.90,404.90,404.90,404.90,404.90,-
"Apr 11, 2025",401.69,401.69,401.69,401.69,401.69,-
"Apr 10, 2025",394.59,394.59,394.59,394.59,394.59,-
"Apr 9, 2025",408.61,408.61,408.61,408.61,408.61,-
"Apr 8, 2025",373.17,373.17,373.17,373.17,373.17,-
"Apr 7, 2025",379.10,379.10,379.10,379.10,379.10,-
"Apr 4, 2025",379.99,379.99,379.99,379.99,379.99,-
"Apr 3, 2025",404.05,404.05,404.05,404.05,404.05,-
"Apr 2, 2025",424.54,424.54,424.54,424.54,424.54,-
"Apr 1, 2025",421.69,421.69,421.69,421.69,421.69,-
"Mar 31, 2025",420.09,420.09,420.09,420.09,420.09,-
"Mar 28, 2025",417.74,417.74,417.74,417.74,417.74,-
"Mar 27, 2025",426.13,426.13,426.13,426.13,426.13,-
"Mar 26, 2025",427.55,427.55,427.55,427.55,427.55,-
"Mar 25, 2025",432.38,432.38,432.38,432.38,432.38,-
"Mar 24, 2025",431.68,431.68,431.68,431.68,431.68,-
"Mar 21, 2025",424.20,424.20,424.20,424.20,424.20,-
"Mar 20, 2025",423.84,423.84,423.84,423.84,423.84,-
"Mar 19, 2025",424.72,424.72,424.72,424.72,424.72,-
"Mar 18, 2025",420.20,420.20,420.20,420.20,420.20,-
"Mar 17, 2025",424.70,424.70,424.70,424.70,424.70,-
"Mar 14, 2025",421.96,421.96,421.96,421.96,421.96,-
"Mar 13, 2025",413.11,413.11,413.11,413.11,413.11,-
"Mar 12, 2025",418.89,418.89,418.89,418.89,418.89,-
"Mar 11, 2025",416.83,416.83,416.83,416.83,416.83,-
"Mar 10, 2025",420.01,420.01,420.01,420.01,420.01,-
"Mar 7, 2025",431.57,431.57,431.57,431.57,431.57,-
"Mar 6, 2025",429.14,429.14,429.14,429.14,429.14,-
"Mar 5, 2025",436.92,436.92,436.92,436.92,436.92,-
"Mar 4, 2025",432.08,432.08,432.08,432.08,432.08,-
"Mar 3, 2025",437.43,437.43,437.43,437.43,437.43,-
"Feb 28, 2025",445.26,445.26,445.26,445.26,445.26,-
"Feb 27, 2025",438.23,438.23,438.23,438.23,438.23,-
"Feb 26, 2025",445.29,445.29,445.29,445.29,445.29,-
"Feb 25, 2025",445.22,445.22,445.22,445.22,445.22,-
"Feb 24, 2025",447.31,447.31,447.31,447.31,447.31,-
"Feb 21, 2025",449.52,449.52,449.52,449.52,449.52,-
"Feb 20, 2025",457.32,457.32,457.32,457.32,457.32,-
"Feb 19, 2025",459.24,459.24,459.24,459.24,459.24,-
"Feb 18, 2025",458.14,458.14,458.14,458.14,458.14,-
"Feb 14, 2025",456.96,456.96,456.96,456.96,456.96,-
"Feb 13, 2025",456.89,456.89,456.89,456.89,456.89,-
"Feb 12, 2025",452.18,452.18,452.18,452.18,452.18,-
"Feb 11, 2025",453.37,453.37,453.37,453.37,453.37,-
"Feb 10, 2025",453.21,453.21,453.21,453.21,453.21,-
"Feb 7, 2025",450.12,450.12,450.12,450.12,450.12,-
"Feb 6, 2025",454.40,454.40,454.40,454.40,454.40,-
"Feb 5, 2025",452.76,452.76,452.76,452.76,452.76,-
"Feb 4, 2025",450.98,450.98,450.98,450.98,450.98,-
"Feb 3, 2025",447.76,447.76,447.76,447.76,447.76,-
"Jan 31, 2025",451.15,451.15,451.15,451.15,451.15,-
"Jan 30, 2025",453.41,453.41,453.41,453.41,453.41,-
"Jan 29, 2025",451.03,451.03,451.03,451.03,451.03,-
"Jan 28, 2025",453.15,453.15,453.15,453.15,453.15,-
"Jan 27, 2025",449.03,449.03,449.03,449.03,449.03,-
"Jan 24, 2025",455.62,455.62,455.62,455.62,455.62,-
"Jan 23, 2025",456.88,456.88,456.88,456.88,456.88,-
"Jan 22, 2025",454.45,454.45,454.45,454.45,454.45,-
"Jan 21, 2025",451.69,451.69,451.69,451.69,451.69,-
"Jan 17, 2025",447.76,447.76,447.76,447.76,447.76,-
"Jan 16, 2025",443.33,443.33,443.33,443.33,443.33,-
"Jan 15, 2025",444.25,444.25,444.25,444.25,444.25,-
"Jan 14, 2025",436.23,436.23,436.23,436.23,436.23,-
"Jan 13, 2025",435.72,435.72,435.72,435.72,435.72,-
"Jan 10, 2025",435.03,435.03,435.03,435.03,435.03,-
"Jan 8, 2025",441.75,441.75,441.75,441.75,441.75,-
"Jan 7, 2025",441.06,441.06,441.06,441.06,441.06,-
"Jan 6, 2025",446.00,446.00,446.00,446.00,446.00,-
"Jan 3, 2025",443.50,443.50,443.50,443.50,443.50,-
"Jan 2, 2025",437.94,437.94,437.94,437.94,437.94,-
"Dec 31, 2024",438.90,438.90,438.90,438.90,438.90,-
"Dec 30, 2024",440.74,440.74,440.74,440.74,440.74,-
"Dec 27, 2024",445.51,445.51,445.51,445.51,445.51,-
"Dec 26, 2024",7.144 Dividend,,,,,
"Dec 26, 2024",450.45,450.45,450.45,450.45,450.45,-
"Dec 24, 2024",457.74,457.74,457.74,457.74,450.60,-
"Dec 23, 2024",452.74,452.74,452.74,452.74,445.67,-
"Dec 20, 2024",444.61,444.61,444.61,444.61,437.67,-
"Dec 19, 2024",444.61,444.61,444.61,444.61,437.67,-
"Dec 18, 2024",444.99,444.99,444.99,444.99,438.04,-
"Dec 17, 2024",458.51,458.51,458.51,458.51,451.35,-
"Dec 16, 2024",460.29,460.29,460.29,460.29,453.11,-
"Dec 13, 2024",458.47,458.47,458.47,458.47,451.31,-
"Dec 12, 2024",458.42,458.42,458.42,458.42,451.27,-
"Dec 11, 2024",460.92,460.92,460.92,460.92,453.73,-
"Dec 10, 2024",457.18,457.18,457.18,457.18,450.04,-
"Dec 9, 2024",458.53,458.53,458.53,458.53,451.37,-
"Dec 6, 2024",461.29,461.29,461.29,461.29,454.09,-
"Dec 5, 2024",460.10,460.10,460.10,460.10,452.92,-
"Dec 4, 2024",460.92,460.92,460.92,460.92,453.73,-
"Dec 3, 2024",458.14,458.14,458.14,458.14,450.99,-
"Dec 2, 2024",457.93,457.93,457.93,457.93,450.78,-
"Nov 29, 2024",456.76,456.76,456.76,456.76,449.63,-
"Nov 27, 2024",454.17,454.17,454.17,454.17,447.08,-
"Nov 26, 2024",455.87,455.87,455.87,455.87,448.76,-
"Nov 25, 2024",453.25,453.25,453.25,453.25,446.18,-
"Nov 22, 2024",450.31,450.31,450.31,450.31,443.28,-
"Nov 21, 2024",450.31,450.31,450.31,450.31,443.28,-
"Nov 20, 2024",447.87,447.87,447.87,447.87,440.88,-
"Nov 19, 2024",447.85,447.85,447.85,447.85,440.86,-
"Nov 18, 2024",446.07,446.07,446.07,446.07,439.11,-
"Nov 15, 2024",450.14,450.14,450.14,450.14,443.11,-
"Nov 14, 2024",450.14,450.14,450.14,450.14,443.11,-
"Nov 13, 2024",452.84,452.84,452.84,452.84,445.77,-
"Nov 12, 2024",452.71,452.71,452.71,452.71,445.64,-
"Nov 11, 2024",453.99,453.99,453.99,453.99,446.90,-
"Nov 8, 2024",453.55,453.55,453.55,453.55,446.47,-
"Nov 7, 2024",451.75,451.75,451.75,451.75,444.70,-
"Nov 6, 2024",448.41,448.41,448.41,448.41,441.41,-
"Nov 5, 2024",437.36,437.36,437.36,437.36,430.53,-
"Nov 4, 2024",432.05,432.05,432.05,432.05,425.31,-
"Nov 1, 2024",433.24,433.24,433.24,433.24,426.48,-
"Oct 31, 2024",431.46,431.46,431.46,431.46,424.73,-
"Oct 30, 2024",439.62,439.62,439.62,439.62,432.76,-
"Oct 29, 2024",441.08,441.08,441.08,441.08,434.20,-
"Oct 28, 2024",440.35,440.35,440.35,440.35,433.48,-
"Oct 25, 2024",439.19,439.19,439.19,439.19,432.34,-
"Oct 24, 2024",439.32,439.32,439.32,439.32,432.46,-
"Oct 23, 2024",438.39,438.39,438.39,438.39,431.55,-
"Oct 22, 2024",442.44,442.44,442.44,442.44,435.53,-
"Oct 21, 2024",442.64,442.64,442.64,442.64,435.73,-
"Oct 18, 2024",443.43,443.43,443.43,443.43,436.51,-
"Oct 17, 2024",441.65,441.65,441.65,441.65,434.76,-
"Oct 16, 2024",441.71,441.71,441.71,441.71,434.82,-
"Oct 15, 2024",439.65,439.65,439.65,439.65,432.79,-
"Oct 14, 2024",442.99,442.99,442.99,442.99,436.08,-
"Oct 11, 2024",439.60,439.60,439.60,439.60,432.74,-
"Oct 10, 2024",436.96,436.96,436.96,436.96,430.14,-
"Oct 9, 2024",437.80,437.80,437.80,437.80,430.97,-
"Oct 8, 2024",434.70,434.70,434.70,434.70,427.92,-
"Oct 7, 2024",430.52,430.52,430.52,430.52,423.80,-
"Oct 4, 2024",434.68,434.68,434.68,434.68,427.90,-
"Oct 3, 2024",430.73,430.73,430.73,430.73,424.01,-
"Oct 2, 2024",431.45,431.45,431.45,431.45,424.72,-
"Oct 1, 2024",431.36,431.36,431.36,431.36,424.63,-
"Sep 30, 2024",435.41,435.41,435.41,435.41,428.61,-
"Sep 27, 2024",433.54,433.54,433.54,433.54,426.77,-
"Sep 26, 2024",434.07,434.07,434.07,434.07,427.30,-
"Sep 25, 2024",432.30,432.30,432.30,432.30,425.55,-
"Sep 24, 2024",433.10,433.10,433.10,433.10,426.34,-
"Sep 23, 2024",432.01,432.01,432.01,432.01,425.27,-
"Sep 20, 2024",430.80,430.80,430.80,430.80,424.08,-
"Sep 19, 2024",431.63,431.63,431.63,431.63,424.89,-
"Sep 18, 2024",424.41,424.41,424.41,424.41,417.79,-
"Sep 17, 2024",425.64,425.64,425.64,425.64,419.00,-
"Sep 16, 2024",425.52,425.52,425.52,425.52,418.88,-
"Sep 13, 2024",424.91,424.91,424.91,424.91,418.28,-
"Sep 12, 2024",422.56,422.56,422.56,422.56,415.97,-
"Sep 11, 2024",419.42,419.42,419.42,419.42,412.87,-
"Sep 10, 2024",414.98,414.98,414.98,414.98,408.50,-
"Sep 9, 2024",413.13,413.13,413.13,413.13,406.68,-
"Sep 6, 2024",408.39,408.39,408.39,408.39,402.02,-
"Sep 5, 2024",415.50,415.50,415.50,415.50,409.02,-
"Sep 4, 2024",416.74,416.74,416.74,416.74,410.24,-
"Sep 3, 2024",417.39,417.39,417.39,417.39,410.88,-
"Aug 30, 2024",426.36,426.36,426.36,426.36,419.71,-
"Aug 29, 2024",422.05,422.05,422.05,422.05,415.46,-
"Aug 28, 2024",422.04,422.04,422.04,422.04,415.45,-
"Aug 27, 2024",424.58,424.58,424.58,424.58,417.95,-
"Aug 26, 2024",423.87,423.87,423.87,423.87,417.25,-
"Aug 23, 2024",425.20,425.20,425.20,425.20,418.56,-
"Aug 22, 2024",420.37,420.37,420.37,420.37,413.81,-
"Aug 21, 2024",424.14,424.14,424.14,424.14,417.52,-
"Aug 20, 2024",422.34,422.34,422.34,422.34,415.75,-
"Aug 19, 2024",423.17,423.17,423.17,423.17,416.57,-
"Aug 16, 2024",419.05,419.05,419.05,419.05,412.51,-
"Aug 15, 2024",418.16,418.16,418.16,418.16,411.63,-
"Aug 14, 2024",411.41,411.41,411.41,411.41,404.99,-
"Aug 13, 2024",409.84,409.84,409.84,409.84,403.44,-
"Aug 12, 2024",403.05,403.05,403.05,403.05,396.76,-
"Aug 9, 2024",402.97,402.97,402.97,402.97,396.68,-
"Aug 8, 2024",401.05,401.05,401.05,401.05,394.79,-
"Aug 7, 2024",392.01,392.01,392.01,392.01,385.89,-
"Aug 6, 2024",395.04,395.04,395.04,395.04,388.87,-
"Aug 5, 2024",390.99,390.99,390.99,390.99,384.89,-
"Aug 2, 2024",410.56,410.56,410.56,410.56,404.15,-
"Aug 1, 2024",410.56,410.56,410.56,410.56,404.15,-
"Jul 31, 2024",416.25,416.25,416.25,416.25,409.75,-
"Jul 30, 2024",409.76,409.76,409.76,409.76,403.36,-
"Jul 29, 2024",411.80,411.80,411.80,411.80,405.37,-
"Jul 26, 2024",411.45,411.45,411.45,411.45,405.03,-
"Jul 25, 2024",406.92,406.92,406.92,406.92,400.57,-
"Jul 24, 2024",409.03,409.03,409.03,409.03,402.65,-
"Jul 23, 2024",418.70,418.70,418.70,418.70,412.17,-
"Jul 22, 2024",419.36,419.36,419.36,419.36,412.81,-
"Jul 19, 2024",414.87,414.87,414.87,414.87,408.40,-
"Jul 18, 2024",417.82,417.82,417.82,417.82,411.30,-
"Jul 17, 2024",421.11,421.11,421.11,421.11,414.54,-
"Jul 16, 2024",427.03,427.03,427.03,427.03,420.37,-
"Jul 15, 2024",424.33,424.33,424.33,424.33,417.71,-
"Jul 12, 2024",423.09,423.09,423.09,423.09,416.49,-
"Jul 11, 2024",420.78,420.78,420.78,420.78,414.21,-
"Jul 10, 2024",424.48,424.48,424.48,424.48,417.86,-
"Jul 9, 2024",420.15,420.15,420.15,420.15,413.59,-
"Jul 8, 2024",419.82,419.82,419.82,419.82,413.27,-
"Jul 5, 2024",417.05,417.05,417.05,417.05,410.54,-
"Jul 3, 2024",417.05,417.05,417.05,417.05,410.54,-
"Jul 2, 2024",414.93,414.93,414.93,414.93,408.45,-
"Jul 1, 2024",412.38,412.38,412.38,412.38,405.94,-
"Jun 28, 2024",411.25,411.25,411.25,411.25,404.83,-
"Jun 27, 2024",412.89,412.89,412.89,412.89,406.45,-
"Jun 26, 2024",412.52,412.52,412.52,412.52,406.08,-
"Jun 25, 2024",411.87,411.87,411.87,411.87,405.44,-
"Jun 24, 2024",410.26,410.26,410.26,410.26,403.86,-
"Jun 21, 2024",411.49,411.49,411.49,411.49,405.07,-
"Jun 20, 2024",412.10,412.10,412.10,412.10,405.67,-
"Jun 18, 2024",413.15,413.15,413.15,413.15,406.70,-
"Jun 17, 2024",412.10,412.10,412.10,412.10,405.67,-
"Jun 14, 2024",408.91,408.91,408.91,408.91,402.53,-
"Jun 13, 2024",408.97,408.97,408.97,408.97,402.59,-
"Jun 12, 2024",408.01,408.01,408.01,408.01,401.64,-
"Jun 11, 2024",404.56,404.56,404.56,404.56,398.25,-
"Jun 10, 2024",403.47,403.47,403.47,403.47,397.17,-
"Jun 7, 2024",402.39,402.39,402.39,402.39,396.11,-
"Jun 6, 2024",402.77,402.77,402.77,402.77,396.48,-
"Jun 5, 2024",402.84,402.84,402.84,402.84,396.55,-
"Jun 4, 2024",398.12,398.12,398.12,398.12,391.91,-
"Jun 3, 2024",397.50,397.50,397.50,397.50,391.30,-
"May 31, 2024",397.02,397.02,397.02,397.02,390.82,-
"May 30, 2024",393.82,393.82,393.82,393.82,387.67,-
"May 29, 2024",396.15,396.15,396.15,396.15,389.97,-
"May 28, 2024",399.08,399.08,399.08,399.08,392.85,-
"May 24, 2024",398.97,398.97,398.97,398.97,392.74,-
"May 23, 2024",396.18,396.18,396.18,396.18,390.00,-
"May 22, 2024",399.12,399.12,399.12,399.12,392.89,-
"May 21, 2024",400.20,400.20,400.20,400.20,393.95,-
"May 20, 2024",399.19,399.19,399.19,399.19,392.96,-
"May 17, 2024",398.78,398.78,398.78,398.78,392.56,-
"May 16, 2024",398.30,398.30,398.30,398.30,392.08,-
"May 15, 2024",399.05,399.05,399.05,399.05,392.82,-
"May 14, 2024",394.35,394.35,394.35,394.35,388.20,-
"May 13, 2024",392.40,392.40,392.40,392.40,386.28,-
"May 10, 2024",392.48,392.48,392.48,392.48,386.35,-
"May 9, 2024",391.78,391.78,391.78,391.78,385.67,-
"May 8, 2024",389.72,389.72,389.72,389.72,383.64,-
"May 7, 2024",389.72,389.72,389.72,389.72,383.64,-
"May 6, 2024",389.19,389.19,389.19,389.19,383.12,-
"May 3, 2024",385.20,385.20,385.20,385.20,379.19,-
"May 2, 2024",380.41,380.41,380.41,380.41,374.47,-
"May 1, 2024",376.96,376.96,376.96,376.96,371.08,-
"Apr 30, 2024",378.28,378.28,378.28,378.28,372.38,-
"Apr 29, 2024",384.29,384.29,384.29,384.29,378.29,-
"Apr 26, 2024",383.05,383.05,383.05,383.05,377.07,-
"Apr 25, 2024",379.18,379.18,379.18,379.18,373.26,-
"Apr 24, 2024",380.92,380.92,380.92,380.92,374.97,-
"Apr 23, 2024",380.82,380.82,380.82,380.82,374.88,-
"Apr 22, 2024",376.32,376.32,376.32,376.32,370.45,-
"Apr 19, 2024",373.07,373.07,373.07,373.07,367.25,-
"Apr 18, 2024",376.33,376.33,376.33,376.33,370.46,-
"Apr 17, 2024",377.14,377.14,377.14,377.14,371.25,-
"Apr 16, 2024",379.33,379.33,379.33,379.33,373.41,-
"Apr 15, 2024",380.12,380.12,380.12,380.12,374.19,-
"Apr 12, 2024",384.74,384.74,384.74,384.74,378.74,-
"Apr 11, 2024",390.36,390.36,390.36,390.36,384.27,-
"Apr 10, 2024",387.47,387.47,387.47,387.47,381.42,-
"Apr 9, 2024",391.17,391.17,391.17,391.17,385.06,-
"Apr 8, 2024",390.55,390.55,390.55,390.55,384.45,-
"Apr 5, 2024",390.67,390.67,390.67,390.67,384.57,-
"Apr 4, 2024",386.40,386.40,386.40,386.40,380.37,-
"Apr 3, 2024",391.17,391.17,391.17,391.17,385.06,-
"Apr 2, 2024",390.72,390.72,390.72,390.72,384.62,-
"Apr 1, 2024",393.56,393.56,393.56,393.56,387.42,-
"Mar 28, 2024",394.35,394.35,394.35,394.35,388.20,-
"Mar 27, 2024",393.91,393.91,393.91,393.91,387.76,-
"Mar 26, 2024",390.50,390.50,390.50,390.50,384.41,-
"Mar 25, 2024",391.59,391.59,391.59,391.59,385.48,-
"Mar 22, 2024",392.79,392.79,392.79,392.79,386.66,-
"Mar 21, 2024",393.32,393.32,393.32,393.32,387.18,-
"Mar 20, 2024",392.05,392.05,392.05,392.05,385.93,-
"Mar 19, 2024",388.55,388.55,388.55,388.55,382.49,-
"Mar 18, 2024",386.37,386.37,386.37,386.37,380.34,-
"Mar 15, 2024",383.94,383.94,383.94,383.94,377.95,-
"Mar 14, 2024",386.42,386.42,386.42,386.42,380.39,-
"Mar 13, 2024",387.44,387.44,387.44,387.44,381.39,-
"Mar 12, 2024",388.16,388.16,388.16,388.16,382.10,-
"Mar 11, 2024",383.86,383.86,383.86,383.86,377.87,-
"Mar 8, 2024",384.30,384.30,384.30,384.30,378.30,-
"Mar 7, 2024",386.79,386.79,386.79,386.79,380.75,-
"Mar 6, 2024",382.80,382.80,382.80,382.80,376.83,-
"Mar 5, 2024",380.81,380.81,380.81,380.81,374.87,-
"Mar 4, 2024",384.71,384.71,384.71,384.71,378.71,-
"Mar 1, 2024",385.16,385.16,385.16,385.16,379.15,-
"Feb 29, 2024",382.07,382.07,382.07,382.07,376.11,-
"Feb 28, 2024",380.02,380.02,380.02,380.02,374.09,-
"Feb 27, 2024",380.61,380.61,380.61,380.61,374.67,-
"Feb 26, 2024",379.96,379.96,379.96,379.96,374.03,-
"Feb 23, 2024",381.39,381.39,381.39,381.39,375.44,-
"Feb 22, 2024",381.24,381.24,381.24,381.24,375.29,-
"Feb 21, 2024",373.35,373.35,373.35,373.35,367.52,-
"Feb 20, 2024",372.85,372.85,372.85,372.85,367.03,-
"Feb 16, 2024",375.09,375.09,375.09,375.09,369.24,-
"Feb 15, 2024",376.84,376.84,376.84,376.84,370.96,-
"Feb 14, 2024",374.58,374.58,374.58,374.58,368.73,-
"Feb 13, 2024",370.96,370.96,370.96,370.96,365.17,-
"Feb 12, 2024",376.06,376.06,376.06,376.06,370.19,-
"Feb 9, 2024",376.40,376.40,376.40,376.40,370.53,-
"Feb 8, 2024",374.22,374.22,374.22,374.22,368.38,-
"Feb 7, 2024",373.97,373.97,373.97,373.97,368.13,-
"Feb 6, 2024",370.89,370.89,370.89,370.89,365.10,-
"Feb 5, 2024",370.03,370.03,370.03,370.03,364.25,-
"Feb 2, 2024",371.21,371.21,371.21,371.21,365.42,-
"Feb 1, 2024",367.26,367.26,367.26,367.26,361.53,-
"Jan 31, 2024",362.70,362.70,362.70,362.70,357.04,-
"Jan 30, 2024",368.62,368.62,368.62,368.62,362.87,-
"Jan 29, 2024",368.81,368.81,368.81,368.81,363.05,-
"Jan 26, 2024",366.04,366.04,366.04,366.04,360.33,-
"Jan 25, 2024",366.27,366.27,366.27,366.27,360.55,-
"Jan 24, 2024",364.34,364.34,364.34,364.34,358.65,-
"Jan 23, 2024",364.03,364.03,364.03,364.03,358.35,-
"Jan 22, 2024",362.97,362.97,362.97,362.97,357.31,-
"Jan 19, 2024",362.17,362.17,362.17,362.17,356.52,-
"Jan 18, 2024",357.75,357.75,357.75,357.75,352.17,-
"Jan 17, 2024",354.62,354.62,354.62,354.62,349.09,-
"Jan 16, 2024",356.61,356.61,356.61,356.61,351.04,-
"Jan 12, 2024",357.93,357.93,357.93,357.93,352.34,-
"Jan 11, 2024",357.63,357.63,357.63,357.63,352.05,-
"Jan 10, 2024",357.86,357.86,357.86,357.86,352.27,-
"Jan 9, 2024",355.83,355.83,355.83,355.83,350.28,-
"Jan 8, 2024",356.31,356.31,356.31,356.31,350.75,-
"Jan 5, 2024",351.36,351.36,351.36,351.36,345.88,-
"Jan 4, 2024",350.72,350.72,350.72,350.72,345.25,-
"Jan 3, 2024",351.88,351.88,351.88,351.88,346.39,-
"Jan 2, 2024",354.70,354.70,354.70,354.70,349.16,-
"Dec 29, 2023",356.72,356.72,356.72,356.72,351.15,-
"Dec 28, 2023",357.71,357.71,357.71,357.71,352.13,-
"Dec 27, 2023",357.54,357.54,357.54,357.54,351.96,-
"Dec 26, 2023",5.152 Dividend,,,,,
"Dec 26, 2023",357.00,357.00,357.00,357.00,351.43,-
"Dec 26, 2023",1.21 Capital Gains,,,,,
"Dec 22, 2023",361.82,361.82,361.82,361.82,349.92,-
"Dec 21, 2023",361.22,361.22,361.22,361.22,349.34,-
"Dec 20, 2023",357.55,357.55,357.55,357.55,345.79,-
"Dec 19, 2023",362.83,362.83,362.83,362.83,350.89,-
